Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
Nizhny Novgorod Oblast,2020,4.04,45.81,5.47,1.18,0.82,0.75,0.85,6.7,Nizhny Novgorod Oblast
Orenburg Oblast,2020,2.52,43.48,3.85,0.82,0.43,0.2,0.41,5.1,Orenburg Oblast
Penza Oblast,2020,2.38,52.2,4.24,0.68,0.47,0.36,0.78,5.8,Penza Oblast
Samara Oblast,2020,3.42,60.68,4.08,1.09,0.73,0.49,0.46,6.3,Samara Oblast
Saratov Oblast,2020,2.28,41.4,2.69,0.75,0.49,0.35,0.36,4.4,Saratov Oblast
Ulyanovsk Oblast,2020,2.64,40.83,4.07,0.86,0.61,0.29,0.46,5.2,Ulyanovsk Oblast
Kurgan Oblast,2020,2.35,55.88,3.38,0.83,0.43,0.25,0.4,5.6,Kurgan Oblast
Sverdlovsk Oblast,2020,4.68,67.39,5.38,1.27,0.85,0.51,0.62,7.7,Sverdlovsk Oblast
khantymansi autonomous okrug  yugra,2020,3.39,65.73,6.17,1.46,1.16,0.61,0.69,7.8,khantymansi autonomous okrug  yugra
yamalonenets autonomous okrug,2020,3.91,65.61,8.17,1.73,1.67,0.48,0.84,9.1,Yamalo-Nenets Autonomous Okrug
Chelyabinsk Oblast,2020,3.51,44.71,4.35,1.11,0.63,0.48,0.64,5.7,Chelyabinsk Oblast
tyumen oblast,2020,3.42,47.47,4.72,1.15,0.65,0.63,0.47,6.0,Tyumen Oblast
altai republic,2020,2.05,40.69,4.86,0.37,0.37,0.1,0.27,5.0,Altai Republic
tuva,2020,0.44,14.74,1.31,0.22,0.11,0.01,0.04,1.5,Tuva
khakassia,2020,2.53,80.91,3.08,0.81,0.47,0.17,0.39,6.4,Khakassia
altai krai,2020,2.2,58.36,3.96,0.58,0.38,0.16,0.3,5.6,Altai Krai
Krasnoyarsk Krai,2020,3.34,41.74,4.39,1.18,0.76,0.24,0.47,5.5,Krasnoyarsk Krai
Irkutsk Oblast,2020,3.6,58.71,5.38,1.0,0.57,0.41,0.61,6.8,Irkutsk Oblast
kemerovo oblast,2020,2.49,57.87,5.13,0.81,0.65,0.3,0.39,6.4,Kemerovo Oblast
Novosibirsk Oblast,2020,3.61,56.97,3.8,0.98,0.63,0.54,0.37,5.9,Novosibirsk Oblast
Omsk Oblast,2020,2.75,36.59,3.07,0.98,0.5,0.37,0.35,4.4,Omsk Oblast
tomsk oblast,2020,3.29,53.5,4.53,1.04,0.78,0.31,0.4,6.2,Tomsk Oblast
buryatia,2020,1.92,36.23,5.78,0.34,0.33,0.27,0.24,5.3,Buryatia
sakha yakutia,2020,2.35,36.97,6.63,1.03,0.59,0.24,0.24,5.7,Sakha (Yakutia)
Zabaykalsky Krai,2020,2.53,75.08,5.13,0.42,0.3,0.14,0.31,7.9,Zabaykalsky Krai
Kamchatka Krai,2020,4.95,70.21,9.82,2.38,1.69,0.79,0.67,10.4,Kamchatka Krai
Primorsky Krai,2020,4.42,54.26,6.92,1.65,1.01,0.61,0.72,7.7,Primorsky Krai
Khabarovsk Krai,2020,3.84,71.25,8.98,1.99,1.07,0.87,0.77,9.7,Khabarovsk Krai
Amur Oblast,2020,3.58,62.97,6.63,1.04,0.69,0.55,0.61,7.7,Amur Oblast
magadan oblast,2020,4.68,68.44,11.87,2.45,1.83,0.26,0.73,11.2,Magadan Oblast
sakhalin oblast,2020,5.32,70.42,12.83,2.58,1.52,0.61,0.74,11.9,Sakhalin Oblast
jewish autonomous oblast,2020,2.95,76.13,7.98,0.91,0.59,0.66,0.65,9.5,Jewish Autonomous Oblast
chukotka autonomous okrug,2020,3.26,51.26,11.0,1.55,1.66,0.21,0.37,8.9,Chukotka Autonomous Okrug
Belgorod Oblast,2021,2.12,46.67,3.74,0.93,0.47,0.91,0.25,5.0,Belgorod Oblast
bryansk oblast,2021,2.79,46.18,4.4,0.96,0.6,0.46,0.94,5.8,Bryansk Oblast
vladimir oblast,2021,4.32,53.91,6.85,1.14,0.94,0.59,0.99,7.8,Vladimir Oblast
Voronezh Oblast,2021,2.88,38.78,3.98,1.2,0.73,0.53,0.59,5.3,Voronezh Oblast
Ivanovo Oblast,2021,3.98,52.5,5.97,1.02,0.73,0.41,1.05,7.3,Ivanovo Oblast
Kaluga Oblast,2021,4.32,46.7,6.21,1.45,1.01,0.57,0.93,7.1,Kaluga Oblast
Kostroma Oblast,2021,4.12,58.34,7.48,1.01,0.82,0.33,0.91,8.1,Kostroma Oblast
Kursk Oblast,2021,2.37,38.83,3.77,1.11,0.66,0.33,0.51,5.1,Kursk Oblast
Lipetsk Oblast,2021,2.74,44.48,4.19,1.0,0.64,0.43,0.6,5.5,Lipetsk Oblast
moscow oblast,2021,6.54,59.05,7.4,2.39,1.51,0.84,0.95,9.2,Moscow Oblast
Oryol Oblast,2021,2.79,41.56,4.05,1.25,0.73,0.44,0.63,5.5,Oryol Oblast
Ryazan Oblast,2021,3.42,52.99,4.48,1.21,0.73,0.81,0.69,6.4,Ryazan Oblast
Smolensk Oblast,2021,3.7,52.88,6.45,1.42,1.02,0.5,0.77,7.5,Smolensk Oblast
Tambov Oblast,2021,2.07,41.35,3.52,0.71,0.5,0.38,0.47,4.7,Tambov Oblast
Tver Oblast,2021,4.27,52.28,7.05,1.43,1.01,0.55,1.03,7.9,Tver Oblast
Tula Oblast,2021,3.42,39.35,4.41,1.04,0.76,0.57,0.78,5.6,Tula Oblast
yaroslavl oblast,2021,5.36,54.21,7.44,1.48,1.12,0.68,0.87,8.3,Yaroslavl Oblast
Moscow,2021,5.4,32.24,4.01,2.11,1.0,1.75,0.52,5.6,Moscow
republic of karelia,2021,7.06,68.61,10.81,1.54,1.55,1.02,1.79,11.5,Republic of Karelia
komi republic,2021,4.99,66.87,11.66,1.59,1.22,0.5,1.11,10.8,Komi Republic
nenets autonomous okrug,2021,7.63,74.58,9.51,1.84,1.11,0.62,0.63,10.6,Nenets Autonomous Okrug
