Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
Kursk Oblast,2018,2.36,53.64,3.67,0.96,0.57,0.36,0.28,5.6,Kursk Oblast
Lipetsk Oblast,2018,2.67,43.29,4.15,0.89,0.55,0.34,0.38,5.3,Lipetsk Oblast
moscow oblast,2018,6.03,53.98,7.8,2.05,1.51,0.68,0.67,8.8,Moscow Oblast
Oryol Oblast,2018,2.69,40.55,3.96,1.09,0.65,0.4,0.34,5.3,Oryol Oblast
Ryazan Oblast,2018,3.2,47.99,4.53,1.05,0.66,0.58,0.44,6.0,Ryazan Oblast
Smolensk Oblast,2018,3.81,49.44,6.41,1.29,0.97,0.57,0.5,7.3,Smolensk Oblast
Tambov Oblast,2018,1.99,36.13,3.27,0.66,0.44,0.28,0.3,4.3,Tambov Oblast
Tver Oblast,2018,4.32,46.54,7.05,1.23,0.91,0.66,0.74,7.4,Tver Oblast
Tula Oblast,2018,3.34,39.83,4.3,0.87,0.7,0.46,0.5,5.4,Tula Oblast
yaroslavl oblast,2018,5.04,47.51,7.62,1.26,1.12,0.5,0.57,7.9,Yaroslavl Oblast
Moscow,2018,5.4,35.73,4.66,1.91,1.09,0.76,0.43,5.9,Moscow
republic of karelia,2018,6.9,56.28,11.11,1.37,1.44,0.83,0.97,10.5,Republic of Karelia
komi republic,2018,4.86,60.18,11.62,1.44,1.16,0.45,0.82,10.3,Komi Republic
nenets autonomous okrug,2018,8.44,47.16,9.64,2.18,1.07,0.25,0.34,9.2,Nenets Autonomous Okrug
Vologda Oblast,2018,4.59,49.47,8.88,0.92,0.83,0.53,0.77,8.5,Vologda Oblast
Kaliningrad Oblast,2018,5.22,36.82,4.19,1.07,0.87,1.36,0.43,5.7,Kaliningrad Oblast
Leningrad Oblast,2018,6.04,51.54,7.99,1.59,1.55,0.8,0.72,8.7,Leningrad Oblast
murmansk oblast,2018,5.49,68.69,8.68,2.07,1.94,0.7,0.77,10.1,Murmansk Oblast
Novgorod Oblast,2018,4.51,51.57,6.77,1.09,1.08,0.82,0.69,7.8,Novgorod Oblast
Pskov Oblast,2018,4.48,49.93,5.66,1.3,0.88,1.23,0.64,7.4,Pskov Oblast
saint petersburg,2018,6.84,35.24,4.95,2.02,1.42,0.96,0.54,6.7,Saint Petersburg
arkhangelsk oblast,2018,5.3,47.9,9.42,1.57,1.07,0.4,0.68,9.0,Arkhangelsk Oblast
adygea,2018,2.31,81.85,3.13,0.86,0.55,0.45,0.17,6.6,Adygea
kalmykia,2018,1.04,20.69,3.36,0.22,0.4,0.05,0.11,3.1,Kalmykia
republic of crimea,2018,4.16,58.98,4.07,1.6,0.98,0.62,0.22,6.4,Republic of Crimea
Krasnodar Krai,2018,3.92,48.3,3.3,1.47,0.79,0.29,0.22,5.4,Krasnodar Krai
Astrakhan Oblast,2018,2.05,30.09,3.9,0.56,0.59,0.22,0.21,4.3,Astrakhan Oblast
Volgograd Oblast,2018,2.21,33.67,3.04,0.94,0.56,0.24,0.26,4.2,Volgograd Oblast
Rostov Oblast,2018,2.0,30.11,2.54,0.96,0.58,0.28,0.2,3.8,Rostov Oblast
sevastopol,2018,5.4,39.56,5.87,2.94,1.23,0.94,0.34,6.7,Sevastopol
dagestan,2018,0.23,3.75,0.83,0.09,0.2,0.0,0.01,0.7,Dagestan
ingushetia,2018,0.03,0.38,0.3,0.0,0.02,0.0,0.0,0.2,Ingushetia
kabardinobalkaria,2018,0.35,7.44,0.48,0.18,0.15,0.02,0.02,0.7,Kabardino-Balkaria
karachaycherkessia,2018,0.6,22.95,0.86,0.21,0.18,0.02,0.07,1.8,Karachay-Cherkessia
north ossetiaalania,2018,0.32,3.33,0.31,0.33,0.11,0.01,0.02,0.5,North Ossetia-Alania
chechnya,2018,0.01,0.34,0.05,0.0,0.01,0.0,0.0,0.0,Chechnya
Stavropol Krai,2018,1.72,20.19,1.96,0.76,0.45,0.13,0.18,2.7,Stavropol Krai
bashkortostan,2018,2.22,36.69,5.64,0.68,0.5,0.23,0.63,5.4,Bashkortostan
mari el,2018,2.52,41.06,6.61,0.53,0.64,0.25,0.66,6.6,Mari El
mordovia,2018,1.85,38.63,5.55,0.57,0.39,0.23,0.31,5.4,Mordovia
tatarstan,2018,2.33,42.07,7.01,0.57,0.72,0.25,0.53,6.4,Tatarstan
udmurtia,2018,3.01,89.62,8.6,0.73,0.66,0.48,0.5,9.6,Udmurtia
chuvashia,2018,2.15,39.94,6.81,0.48,0.49,0.19,0.91,6.2,Chuvashia
Perm Krai,2018,3.46,49.1,5.84,0.77,0.79,0.37,0.45,6.6,Perm Krai
Kirov Oblast,2018,3.64,58.55,8.46,0.96,0.68,0.4,0.5,8.4,Kirov Oblast
Nizhny Novgorod Oblast,2018,3.63,43.21,6.62,1.1,0.79,0.55,1.49,7.5,Nizhny Novgorod Oblast
Orenburg Oblast,2018,2.47,35.63,3.72,0.74,0.4,0.23,0.28,4.6,Orenburg Oblast
Penza Oblast,2018,2.1,45.51,4.16,0.6,0.42,0.49,0.67,5.6,Penza Oblast
Samara Oblast,2018,3.31,61.1,3.92,0.95,0.69,0.41,0.35,6.2,Samara Oblast
Saratov Oblast,2018,2.15,43.89,2.47,0.67,0.47,0.28,0.25,4.5,Saratov Oblast
Ulyanovsk Oblast,2018,2.8,40.82,3.57,0.79,0.51,0.34,0.28,5.0,Ulyanovsk Oblast
Kurgan Oblast,2018,2.46,51.93,3.21,0.8,0.44,0.43,0.29,5.4,Kurgan Oblast
Sverdlovsk Oblast,2018,4.49,59.37,5.44,1.19,0.86,0.41,0.48,7.3,Sverdlovsk Oblast
khantymansi autonomous okrug  yugra,2018,3.3,52.77,6.11,1.46,1.16,0.36,0.51,7.0,khantymansi autonomous okrug  yugra
yamalonenets autonomous okrug,2018,3.61,60.76,7.71,1.7,1.5,0.36,0.63,8.4,Yamalo-Nenets Autonomous Okrug
Chelyabinsk Oblast,2018,3.42,39.72,4.19,1.04,0.62,0.35,0.43,5.2,Chelyabinsk Oblast
tyumen oblast,2018,3.29,44.71,4.74,1.07,0.64,0.46,0.33,5.7,Tyumen Oblast
altai republic,2018,2.38,41.47,4.49,0.32,0.28,0.11,0.16,4.9,Altai Republic
tuva,2018,0.67,13.49,1.74,0.35,0.17,0.02,0.02,1.6,Tuva
khakassia,2018,2.44,62.49,2.86,0.81,0.39,0.14,0.22,5.2,Khakassia
altai krai,2018,2.36,48.55,3.97,0.53,0.35,0.14,0.24,5.0,Altai Krai
Krasnoyarsk Krai,2018,3.12,37.69,4.33,1.19,0.67,0.2,0.33,5.0,Krasnoyarsk Krai
Irkutsk Oblast,2018,3.29,54.55,5.56,0.97,0.49,0.32,0.5,6.6,Irkutsk Oblast
kemerovo oblast,2018,2.51,55.89,5.2,0.76,0.58,0.21,0.35,6.2,Kemerovo Oblast
Novosibirsk Oblast,2018,3.49,52.01,3.78,0.91,0.59,0.46,0.28,5.6,Novosibirsk Oblast
Omsk Oblast,2018,2.71,31.31,2.84,0.91,0.47,0.25,0.25,4.0,Omsk Oblast
tomsk oblast,2018,3.22,52.9,4.3,0.98,0.7,0.24,0.35,6.1,Tomsk Oblast
buryatia,2018,1.84,35.7,6.37,0.43,0.28,0.23,0.21,5.6,Buryatia
sakha yakutia,2018,2.3,33.46,6.99,1.23,0.59,0.22,0.18,5.7,Sakha (Yakutia)
Zabaykalsky Krai,2018,2.26,35.25,4.86,0.42,0.25,0.24,0.25,5.1,Zabaykalsky Krai
Kamchatka Krai,2018,4.47,76.51,9.56,2.78,1.55,0.45,0.57,10.3,Kamchatka Krai
Primorsky Krai,2018,4.05,116.63,6.75,1.56,0.95,2.07,0.63,10.8,Primorsky Krai
Khabarovsk Krai,2018,3.57,56.63,9.15,2.14,1.04,0.75,0.66,9.1,Khabarovsk Krai
Amur Oblast,2018,3.33,87.97,6.47,1.03,0.61,0.8,0.44,8.7,Amur Oblast
magadan oblast,2018,4.36,64.62,12.15,2.59,1.74,0.42,0.71,11.0,Magadan Oblast
sakhalin oblast,2018,4.67,63.33,12.65,2.84,1.36,0.27,0.62,11.4,Sakhalin Oblast
jewish autonomous oblast,2018,2.58,63.3,7.97,0.95,0.54,0.28,0.49,8.6,Jewish Autonomous Oblast
chukotka autonomous okrug,2018,2.73,45.11,10.95,1.76,1.48,0.11,0.31,8.3,Chukotka Autonomous Okrug
Belgorod Oblast,2019,1.95,47.63,3.77,0.73,0.35,0.63,0.18,5.0,Belgorod Oblast
bryansk oblast,2019,2.74,40.18,4.26,0.82,0.56,0.43,0.78,5.5,Bryansk Oblast
vladimir oblast,2019,3.89,50.9,6.77,0.94,0.92,0.58,0.71,7.5,Vladimir Oblast
Voronezh Oblast,2019,2.84,35.5,3.88,1.03,0.7,0.42,0.45,4.9,Voronezh Oblast
Ivanovo Oblast,2019,3.6,49.4,5.91,0.87,0.72,0.36,0.75,6.9,Ivanovo Oblast
Kaluga Oblast,2019,4.09,45.79,6.19,1.24,0.98,0.48,0.73,6.9,Kaluga Oblast
Kostroma Oblast,2019,3.89,54.36,7.68,0.84,0.77,0.28,0.65,7.9,Kostroma Oblast
Kursk Oblast,2019,2.43,35.78,3.63,0.97,0.6,0.35,0.35,4.7,Kursk Oblast
Lipetsk Oblast,2019,2.68,42.09,4.08,0.87,0.59,0.34,0.45,5.2,Lipetsk Oblast
moscow oblast,2019,6.11,55.62,7.64,2.08,1.55,0.68,0.74,8.9,Moscow Oblast
Oryol Oblast,2019,2.73,38.9,3.92,1.06,0.68,0.4,0.44,5.2,Oryol Oblast
Ryazan Oblast,2019,3.15,47.68,4.47,1.04,0.7,0.58,0.51,6.0,Ryazan Oblast
Smolensk Oblast,2019,3.7,49.38,6.37,1.27,1.02,0.51,0.55,7.2,Smolensk Oblast
Tambov Oblast,2019,1.99,33.95,3.35,0.66,0.48,0.31,0.34,4.2,Tambov Oblast
Tver Oblast,2019,4.18,47.15,7.03,1.22,0.97,0.5,0.81,7.4,Tver Oblast
Tula Oblast,2019,3.35,39.33,4.32,0.88,0.74,0.48,0.57,5.4,Tula Oblast
yaroslavl oblast,2019,5.0,49.22,7.46,1.3,1.16,0.51,0.64,8.0,Yaroslavl Oblast
Moscow,2019,5.45,35.4,4.41,1.9,1.09,0.79,0.45,5.8,Moscow
republic of karelia,2019,7.2,58.04,10.91,1.36,1.53,0.89,1.26,10.7,Republic of Karelia
komi republic,2019,4.77,80.53,11.65,1.42,1.24,0.39,0.91,11.4,Komi Republic
nenets autonomous okrug,2019,8.25,46.9,9.5,1.9,1.14,0.25,0.36,9.1,Nenets Autonomous Okrug
Vologda Oblast,2019,4.81,51.52,8.88,0.91,0.9,0.44,0.87,8.6,Vologda Oblast
Kaliningrad Oblast,2019,5.59,40.07,4.52,1.18,0.93,1.05,0.53,6.3,Kaliningrad Oblast
Leningrad Oblast,2019,6.31,52.32,7.88,1.58,1.6,0.82,0.8,8.8,Leningrad Oblast
murmansk oblast,2019,5.64,68.81,8.59,1.93,2.08,0.7,0.8,10.2,Murmansk Oblast
Novgorod Oblast,2019,4.5,47.85,6.65,1.08,1.09,0.61,0.77,7.6,Novgorod Oblast
Pskov Oblast,2019,4.59,48.47,5.71,1.32,0.95,0.8,0.78,7.3,Pskov Oblast
saint petersburg,2019,7.07,35.9,5.12,2.02,1.42,1.19,0.61,6.8,Saint Petersburg
arkhangelsk oblast,2019,5.47,48.31,9.26,1.54,1.15,0.39,0.7,8.9,Arkhangelsk Oblast
adygea,2019,1.89,80.07,2.93,0.84,0.53,0.44,0.19,6.2,Adygea
kalmykia,2019,1.11,19.0,3.63,0.23,0.43,0.05,0.16,3.1,Kalmykia
republic of crimea,2019,4.4,46.38,4.12,1.65,1.03,0.65,0.27,5.8,Republic of Crimea
Krasnodar Krai,2019,3.83,37.92,3.25,1.5,0.81,0.29,0.28,4.8,Krasnodar Krai
Astrakhan Oblast,2019,1.88,33.43,3.93,0.56,0.6,0.2,0.29,4.5,Astrakhan Oblast
Volgograd Oblast,2019,2.17,32.68,3.01,0.95,0.57,0.21,0.3,4.1,Volgograd Oblast
Rostov Oblast,2019,2.02,29.83,2.57,0.98,0.59,0.3,0.24,3.8,Rostov Oblast
sevastopol,2019,5.46,34.93,5.54,2.81,1.27,0.81,0.37,6.3,Sevastopol
dagestan,2019,0.25,4.42,0.89,0.09,0.21,0.0,0.01,0.7,Dagestan
ingushetia,2019,0.03,0.54,0.26,0.0,0.02,0.0,0.01,0.2,Ingushetia
kabardinobalkaria,2019,0.36,9.87,0.43,0.17,0.17,0.02,0.02,0.9,Kabardino-Balkaria
karachaycherkessia,2019,0.54,29.17,0.9,0.21,0.18,0.02,0.08,2.1,Karachay-Cherkessia
north ossetiaalania,2019,0.34,3.21,0.32,0.33,0.12,0.03,0.02,0.5,North Ossetia-Alania
chechnya,2019,0.02,0.62,0.12,0.0,0.01,0.0,0.0,0.1,Chechnya
Stavropol Krai,2019,1.67,18.77,2.02,0.76,0.47,0.1,0.24,2.7,Stavropol Krai
bashkortostan,2019,2.36,41.64,5.68,0.69,0.53,0.22,0.63,5.7,Bashkortostan
mari el,2019,2.48,41.76,6.46,0.54,0.68,0.24,0.73,6.5,Mari El
mordovia,2019,1.84,33.55,5.35,0.56,0.41,0.21,0.33,5.0,Mordovia
tatarstan,2019,2.47,46.28,6.84,0.6,0.77,0.27,0.56,6.6,Tatarstan
udmurtia,2019,2.96,98.52,8.52,0.71,0.71,0.47,0.57,10.0,Udmurtia
chuvashia,2019,2.18,37.24,6.83,0.48,0.53,0.18,0.93,6.1,Chuvashia
Perm Krai,2019,3.59,51.59,5.91,0.79,0.82,0.39,0.51,6.7,Perm Krai
Kirov Oblast,2019,3.86,61.23,8.17,0.99,0.73,0.31,0.51,8.3,Kirov Oblast
Nizhny Novgorod Oblast,2019,4.57,43.3,6.64,1.57,0.84,0.57,0.72,7.1,Nizhny Novgorod Oblast
Orenburg Oblast,2019,2.46,38.08,3.83,0.74,0.42,0.17,0.34,4.8,Orenburg Oblast
Penza Oblast,2019,2.17,45.8,4.21,0.63,0.47,0.33,0.65,5.5,Penza Oblast
Samara Oblast,2019,3.35,56.22,4.01,0.99,0.73,0.4,0.43,6.1,Samara Oblast
Saratov Oblast,2019,2.22,41.12,2.59,0.69,0.5,0.28,0.29,4.3,Saratov Oblast
Ulyanovsk Oblast,2019,2.66,41.45,4.02,0.78,0.61,0.32,0.4,5.2,Ulyanovsk Oblast
Kurgan Oblast,2019,2.59,51.65,3.11,0.79,0.43,0.21,0.32,5.3,Kurgan Oblast
Sverdlovsk Oblast,2019,4.72,61.57,5.37,1.21,0.89,0.42,0.53,7.4,Sverdlovsk Oblast
khantymansi autonomous okrug  yugra,2019,3.28,51.69,5.9,1.39,1.16,0.38,0.56,6.8,khantymansi autonomous okrug  yugra
yamalonenets autonomous okrug,2019,3.59,59.93,7.61,1.65,1.54,0.4,0.68,8.4,Yamalo-Nenets Autonomous Okrug
Chelyabinsk Oblast,2019,3.56,41.96,4.23,1.06,0.64,0.37,0.51,5.5,Chelyabinsk Oblast
tyumen oblast,2019,3.42,43.52,4.63,1.09,0.66,0.5,0.39,5.7,Tyumen Oblast
altai republic,2019,2.28,42.78,4.73,0.35,0.35,0.1,0.2,5.2,Altai Republic
tuva,2019,0.73,18.68,1.91,0.36,0.18,0.03,0.04,2.0,Tuva
khakassia,2019,2.26,58.15,2.66,0.82,0.43,0.13,0.23,4.9,Khakassia
altai krai,2019,2.33,58.07,3.98,0.54,0.36,0.17,0.28,5.8,Altai Krai
Krasnoyarsk Krai,2019,3.17,39.52,4.37,1.18,0.74,0.22,0.39,5.2,Krasnoyarsk Krai
Irkutsk Oblast,2019,3.37,61.44,5.39,0.96,0.53,0.39,0.52,6.9,Irkutsk Oblast
kemerovo oblast,2019,2.49,60.86,5.13,0.78,0.65,0.26,0.36,6.5,Kemerovo Oblast
Novosibirsk Oblast,2019,3.54,54.96,3.75,0.93,0.62,0.86,0.31,5.8,Novosibirsk Oblast
Omsk Oblast,2019,2.73,32.83,2.97,0.93,0.5,0.25,0.29,4.2,Omsk Oblast
tomsk oblast,2019,3.19,50.39,4.36,0.99,0.76,0.23,0.35,6.0,Tomsk Oblast
buryatia,2019,1.91,46.5,5.95,0.38,0.3,0.28,0.21,5.9,Buryatia
sakha yakutia,2019,2.36,30.61,6.71,1.12,0.61,0.21,0.23,5.5,Sakha (Yakutia)
Zabaykalsky Krai,2019,2.51,37.34,5.0,0.43,0.28,0.17,0.29,5.3,Zabaykalsky Krai
Kamchatka Krai,2019,4.65,69.67,9.49,2.4,1.59,0.62,0.59,10.0,Kamchatka Krai
Primorsky Krai,2019,4.13,61.23,6.75,1.54,1.0,0.5,0.65,7.9,Primorsky Krai
Khabarovsk Krai,2019,3.57,66.19,8.98,2.0,1.09,0.82,0.68,9.4,Khabarovsk Krai
Amur Oblast,2019,3.52,56.87,6.51,0.99,0.66,0.65,0.49,7.3,Amur Oblast
magadan oblast,2019,4.37,60.2,11.99,2.31,1.77,0.28,0.63,10.7,Magadan Oblast
sakhalin oblast,2019,4.85,65.16,12.62,2.58,1.45,0.49,0.66,11.5,Sakhalin Oblast
jewish autonomous oblast,2019,2.56,62.54,7.89,0.9,0.6,0.4,0.53,8.5,Jewish Autonomous Oblast
chukotka autonomous okrug,2019,2.88,46.3,11.42,1.65,1.63,0.05,0.34,8.7,Chukotka Autonomous Okrug
Belgorod Oblast,2020,2.06,46.46,3.63,0.8,0.39,0.88,0.22,4.8,Belgorod Oblast
bryansk oblast,2020,2.88,44.74,4.28,0.87,0.57,0.46,0.85,5.7,Bryansk Oblast
vladimir oblast,2020,4.18,52.35,6.89,1.03,0.92,0.54,0.84,7.6,Vladimir Oblast
Voronezh Oblast,2020,2.89,35.52,3.94,1.09,0.7,0.53,0.52,5.0,Voronezh Oblast
Ivanovo Oblast,2020,3.77,51.45,5.95,0.92,0.71,0.41,0.87,7.0,Ivanovo Oblast
Kaluga Oblast,2020,4.49,47.44,6.41,1.36,1.0,0.54,0.85,7.2,Kaluga Oblast
Kostroma Oblast,2020,3.98,55.76,7.67,0.91,0.78,0.32,0.79,7.9,Kostroma Oblast
Kursk Oblast,2020,2.44,38.13,3.66,1.04,0.62,0.42,0.48,4.9,Kursk Oblast
Lipetsk Oblast,2020,2.8,43.47,4.22,0.94,0.61,0.46,0.54,5.4,Lipetsk Oblast
moscow oblast,2020,6.82,56.95,7.8,2.24,1.54,0.79,0.87,9.2,Moscow Oblast
Oryol Oblast,2020,2.83,41.5,3.97,1.14,0.69,0.47,0.55,5.4,Oryol Oblast
Ryazan Oblast,2020,3.41,56.24,4.55,1.11,0.71,0.67,0.59,6.5,Ryazan Oblast
Smolensk Oblast,2020,3.8,51.72,6.49,1.32,1.02,0.46,0.63,7.4,Smolensk Oblast
Tambov Oblast,2020,2.06,34.3,3.47,0.67,0.49,0.34,0.4,4.3,Tambov Oblast
Tver Oblast,2020,4.48,50.96,7.22,1.32,0.99,0.57,0.95,7.8,Tver Oblast
Tula Oblast,2020,3.48,39.05,4.47,0.96,0.75,0.53,0.68,5.5,Tula Oblast
yaroslavl oblast,2020,5.27,51.87,7.59,1.37,1.12,0.62,0.75,8.1,Yaroslavl Oblast
Moscow,2020,5.44,30.24,4.23,1.86,1.0,0.75,0.49,5.4,Moscow
republic of karelia,2020,7.23,89.78,11.13,1.39,1.52,0.92,1.49,12.4,Republic of Karelia
komi republic,2020,5.02,72.65,12.14,1.51,1.25,0.45,1.03,11.3,Komi Republic
nenets autonomous okrug,2020,8.01,54.35,9.89,1.95,1.16,0.33,0.53,9.7,Nenets Autonomous Okrug
Vologda Oblast,2020,4.87,54.79,9.23,0.97,0.93,0.49,1.08,9.0,Vologda Oblast
Kaliningrad Oblast,2020,6.18,45.88,5.85,1.41,0.94,1.78,0.96,7.5,Kaliningrad Oblast
Leningrad Oblast,2020,6.77,53.15,8.04,1.68,1.58,1.0,0.88,9.0,Leningrad Oblast
murmansk oblast,2020,5.91,74.43,8.66,1.99,2.02,0.86,0.98,10.6,Murmansk Oblast
Novgorod Oblast,2020,4.54,50.79,6.51,1.12,1.06,0.62,0.88,7.6,Novgorod Oblast
Pskov Oblast,2020,4.68,52.63,5.99,1.37,0.96,0.72,0.74,7.6,Pskov Oblast
