,Region,2019,2020,2021,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
96,Saratov Oblast,73.07,71.14,69.08,2019,2.22,41.12,2.59,0.69,0.5,0.28,0.29,4.3
97,Saratov Oblast,73.07,71.14,69.08,2020,2.28,41.4,2.69,0.75,0.49,0.35,0.36,4.4
98,Saratov Oblast,73.07,71.14,69.08,2021,2.34,50.31,2.8,0.79,0.51,0.33,0.44,5.1
99,Smolensk Oblast,71.89,70.1,68.0,2019,3.7,49.38,6.37,1.27,1.02,0.51,0.55,7.2
100,Smolensk Oblast,71.89,70.1,68.0,2020,3.8,51.72,6.49,1.32,1.02,0.46,0.63,7.4
101,Smolensk Oblast,71.89,70.1,68.0,2021,3.7,52.88,6.45,1.42,1.02,0.5,0.77,7.5
102,Stavropol Krai,74.66,73.2,71.66,2019,1.67,18.77,2.02,0.76,0.47,0.1,0.24,2.7
103,Stavropol Krai,74.66,73.2,71.66,2020,1.57,20.87,2.14,0.8,0.42,0.15,0.28,2.8
104,Stavropol Krai,74.66,73.2,71.66,2021,1.67,26.95,2.39,0.84,0.49,0.21,0.35,3.3
105,Sverdlovsk Oblast,71.81,70.15,68.79,2019,4.72,61.57,5.37,1.21,0.89,0.42,0.53,7.4
106,Sverdlovsk Oblast,71.81,70.15,68.79,2020,4.68,67.39,5.38,1.27,0.85,0.51,0.62,7.7
107,Sverdlovsk Oblast,71.81,70.15,68.79,2021,4.67,66.79,5.51,1.36,0.88,0.47,0.71,8.1
108,Tambov Oblast,73.56,71.78,69.88,2019,1.99,33.95,3.35,0.66,0.48,0.31,0.34,4.2
109,Tambov Oblast,73.56,71.78,69.88,2020,2.06,34.3,3.47,0.67,0.49,0.34,0.4,4.3
110,Tambov Oblast,73.56,71.78,69.88,2021,2.07,41.35,3.52,0.71,0.5,0.38,0.47,4.7
111,Tula Oblast,72.21,70.2,68.97,2019,3.35,39.33,4.32,0.88,0.74,0.48,0.57,5.4
112,Tula Oblast,72.21,70.2,68.97,2020,3.48,39.05,4.47,0.96,0.75,0.53,0.68,5.5
113,Tula Oblast,72.21,70.2,68.97,2021,3.42,39.35,4.41,1.04,0.76,0.57,0.78,5.6
114,Tver Oblast,71.24,69.76,67.87,2019,4.18,47.15,7.03,1.22,0.97,0.5,0.81,7.4
115,Tver Oblast,71.24,69.76,67.87,2020,4.48,50.96,7.22,1.32,0.99,0.57,0.95,7.8
116,Tver Oblast,71.24,69.76,67.87,2021,4.27,52.28,7.05,1.43,1.01,0.55,1.03,7.9
117,Ulyanovsk Oblast,72.96,70.98,69.05,2019,2.66,41.45,4.02,0.78,0.61,0.32,0.4,5.2
118,Ulyanovsk Oblast,72.96,70.98,69.05,2020,2.64,40.83,4.07,0.86,0.61,0.29,0.46,5.2
119,Ulyanovsk Oblast,72.96,70.98,69.05,2021,2.68,44.9,4.07,0.93,0.65,0.36,0.53,5.5
120,Volgograd Oblast,74.07,71.98,69.96,2019,2.17,32.68,3.01,0.95,0.57,0.21,0.3,4.1
121,Volgograd Oblast,74.07,71.98,69.96,2020,2.23,34.83,3.05,1.0,0.54,0.25,0.37,4.3
122,Volgograd Oblast,74.07,71.98,69.96,2021,2.34,36.17,3.09,1.04,0.55,0.21,0.45,4.5
123,Vologda Oblast,71.82,70.71,69.08,2019,4.81,51.52,8.88,0.91,0.9,0.44,0.87,8.6
124,Vologda Oblast,71.82,70.71,69.08,2020,4.87,54.79,9.23,0.97,0.93,0.49,1.08,9.0
125,Vologda Oblast,71.82,70.71,69.08,2021,4.79,55.96,8.95,1.07,0.91,0.54,1.32,9.0
126,Voronezh Oblast,73.63,71.91,69.49,2019,2.84,35.5,3.88,1.03,0.7,0.42,0.45,4.9
127,Voronezh Oblast,73.63,71.91,69.49,2020,2.89,35.52,3.94,1.09,0.7,0.53,0.52,5.0
128,Voronezh Oblast,73.63,71.91,69.49,2021,2.88,38.78,3.98,1.2,0.73,0.53,0.59,5.3
129,Zabaykalsky Krai,68.88,68.23,66.82,2019,2.51,37.34,5.0,0.43,0.28,0.17,0.29,5.3
130,Zabaykalsky Krai,68.88,68.23,66.82,2020,2.53,75.08,5.13,0.42,0.3,0.14,0.31,7.9
131,Zabaykalsky Krai,68.88,68.23,66.82,2021,2.55,41.11,5.35,0.44,0.33,0.18,0.35,5.5
